Country/Region,SKU,SKU Description,Volume Production,Date
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,0,2021-04-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,0,2021-05-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,0,2021-06-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,0,2021-08-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,0,2021-12-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,0,2022-01-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,0,2022-02-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,0,2022-04-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,0,2022-05-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,0,2022-07-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,1.04,2021-02-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,1.22,2021-01-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,1.38,2021-10-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,1.3824,2022-09-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,1.3896000000000002,2022-08-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,1.3968,2022-06-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,1.5,2021-07-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,1.61,2021-03-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,2.72,2021-11-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,2.78,2021-09-01 00:00:00
Austria,1573097,C SHOCK MNO JUNGLE MIX AT DE,6.8904000000000005,2022-03-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,0,2021-01-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,0,2021-04-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,0,2021-07-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,0,2021-08-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,0,2022-01-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,0,2022-07-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,1.2096000000000002,2022-02-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,1.3824,2022-08-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,1.5912,2022-06-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,2.28,2021-11-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,2.7288,2022-05-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,3.07,2021-10-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,3.71,2021-03-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,4.13,2021-02-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,4.176,2022-09-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,5.05,2021-12-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,5.1,2021-05-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,5.46,2021-09-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,5.8,2021-06-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,5.997600000000001,2022-04-01 00:00:00
Austria,1573098,C SHOCK MNO SCARY MIX NEW AU DE,7.884,2022-03-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,0,2021-05-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,0,2021-07-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,0,2021-10-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,1.008,2022-02-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,1.06,2021-06-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,1.53,2021-04-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,2.1,2021-12-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,2.13444,2022-05-01 00:00:00
Belgium,1510116,FRISK TIN BOX PEP.MINT BEL FR VERTICAL,2.61828,2022-04-01 00:00:00
